2021:01/20/21:00:14,200
2021:01/20/21:00:14,250
2021:01/20/21:00:14,212
2021:01/20/21:00:22,200
2021:01/20/21:00:23,200
2021:01/20/21:00:23,250
2021:01/20/21:00:23,212
2021:01/20/21:00:23,213
2021:01/20/21:12:36,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/20/21:12:36,Flow: 250, IMEI: 23469783900012222, Battery: 3.8
2021:01/20/21:12:46,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/20/21:12:46,Flow: 250, IMEI: 23469783900012222, Battery: 3.8
2021:01/20/21:12:55,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/20/21:12:55,Flow: 250, IMEI: 23469783900012222, Battery: 3.8
2021:01/20/21:13:07,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/20/21:13:07,Flow: 250, IMEI: 23469783900012222, Battery: 3.8
2021:01/20/21:13:24,Flow: 200, IMEI: 234697839, Battery: 3.8
2021:01/20/21:13:24,Flow: 250, IMEI: 234697839, Battery: 3.76
2021:01/20/21:13:24,Flow: 212, IMEI: 234697839, Battery: 3.7
2021:01/20/21:13:24,Flow: 213, IMEI: 234697839, Battery: 3.65
2021:01/20/21:13:24,Flow: 219, IMEI: 234697839, Battery: 3.65
2021:01/20/21:13:44,Flow: 200, IMEI: 234697839, Battery: 3.8
2021:01/20/21:13:44,Flow: 250, IMEI: 234697839, Battery: 3.76
2021:01/20/21:13:44,Flow: 212, IMEI: 234697839, Battery: 3.7
2021:01/20/21:13:44,Flow: 213, IMEI: 234697839, Battery: 3.65
2021:01/20/21:13:44,Flow: 219, IMEI: 234697839, Battery: 3.65
2021:01/20/21:13:50,Flow: 200, IMEI: 234697839, Battery: 3.8
2021:01/20/21:13:50,Flow: 250, IMEI: 234697839, Battery: 3.76
2021:01/20/21:13:50,Flow: 212, IMEI: 234697839, Battery: 3.7
2021:01/20/21:13:50,Flow: 213, IMEI: 234697839, Battery: 3.65
2021:01/20/21:13:50,Flow: 219, IMEI: 234697839, Battery: 3.65
2021:01/20/21:13:57,Flow: 200, IMEI: 234697839, Battery: 3.8
2021:01/20/21:13:57,Flow: 250, IMEI: 234697839, Battery: 3.76
2021:01/20/21:13:57,Flow: 212, IMEI: 234697839, Battery: 3.7
2021:01/20/21:13:57,Flow: 213, IMEI: 234697839, Battery: 3.65
2021:01/20/21:13:57,Flow: 219, IMEI: 234697839, Battery: 3.65
2021:01/20/21:14:09,Flow: 200, IMEI: 234697839, Battery: 3.8
2021:01/20/21:14:09,Flow: 250, IMEI: 234697839, Battery: 3.76
2021:01/20/21:14:09,Flow: 212, IMEI: 234697839, Battery: 3.7
2021:01/20/21:14:09,Flow: 213, IMEI: 234697839, Battery: 3.65
2021:01/20/21:14:09,Flow: 219, IMEI: 234697839, Battery: 3.65
2021:01/21/21:16:15,Flow: 200, IMEI: 234697839, Battery: 3.8
2021:01/21/21:16:15,Flow: 250, IMEI: 234697839, Battery: 3.76
2021:01/21/21:16:15,Flow: 212, IMEI: 234697839, Battery: 3.7
2021:01/21/21:16:15,Flow: 213, IMEI: 234697839, Battery: 3.65
2021:01/21/21:16:15,Flow: 219, IMEI: 234697839, Battery: 3.65
2021:01/21/21:26:06,Flow: 200, IMEI: 234697839, Battery: 3.8
2021:01/21/21:26:06,Flow: 250, IMEI: 234697839, Battery: 3.76
2021:01/21/21:26:06,Flow: 212, IMEI: 234697839, Battery: 3.7
2021:01/21/21:26:06,Flow: 213, IMEI: 234697839, Battery: 3.65
2021:01/21/21:26:06,Flow: 219, IMEI: 234697839, Battery: 3.65
2021:01/21/21:29:10,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/21/21:29:10,Flow: 250, IMEI: 23469783900012222, Battery: 3.8
2021:01/21/21:40:06,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/21/21:40:06,Flow: 250, IMEI: 23469783900012222, Battery: 3.8
2021:01/21/21:40:06,Flow: 222, IMEI: 23469783900012222, Battery: 3.7
2021:01/21/21:40:33,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/21/21:40:33,Flow: 250, IMEI: 23469783900012222, Battery: 3.8
2021:01/21/21:40:33,Flow: 222, IMEI: 23469783900012222, Battery: 3.7
2021:01/21/21:41:15,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/21/21:41:15,Flow: 250, IMEI: 23469783900012222, Battery: 3.8
2021:01/21/21:41:31,Flow: 200, IMEI: 234697839, Battery: 3.8
2021:01/21/21:41:31,Flow: 250, IMEI: 234697839, Battery: 3.76
2021:01/21/21:41:31,Flow: 212, IMEI: 234697839, Battery: 3.7
2021:01/21/21:41:31,Flow: 213, IMEI: 234697839, Battery: 3.65
2021:01/21/21:41:31,Flow: 219, IMEI: 234697839, Battery: 3.65
2021:01/22/21:55:48,Flow: 1291, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:55:48,Flow: 1333, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:55:48,Flow: 1375, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:55:48,Flow: 1416, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:55:48,Flow: 1458, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:55:51,Flow: 1500, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:55:51,Flow: 1541, IMEI: 864287039914179, Battery: 76.0
